station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LTAP,2024-06-04 08:50,35.5833,40.8500,535.00,86.00,50.00,28.90,,2.00,0.00,29.97,,6.21,,,,,,,,,,,,,,,,,83.62,LTAP 040850Z VRB02KT CAVOK 30/10 Q1015 NOSIG RMK RWY23 VRB04KT,
LTAP,2024-06-04 09:20,35.5833,40.8500,535.00,87.80,44.60,22.27,,1.00,0.00,29.97,,6.21,,,,,,,,,,,,,,,,,84.53,LTAP 040920Z VRB01KT CAVOK 31/07 Q1015 NOSIG RMK RWY23 VRB04KT,
LTAP,2024-06-04 09:50,35.5833,40.8500,535.00,87.80,42.80,20.79,40.00,3.00,0.00,29.94,,6.21,,,,,,,,,,,,,,,,,84.40,LTAP 040950Z 04003KT 340V140 CAVOK 31/06 Q1014 NOSIG RMK RWY23 VRB03KT,
LTAP,2024-06-04 10:20,35.5833,40.8500,535.00,89.60,42.80,19.64,,4.00,0.00,29.94,,6.21,,,,,,,,,,,,,,,,,85.93,LTAP 041020Z VRB04KT CAVOK 32/06 Q1014 NOSIG RMK RWY23 VRB04KT,
LTAP,2024-06-04 10:50,35.5833,40.8500,535.00,91.40,41.00,17.32,80.00,2.00,0.00,29.94,,6.21,,,,,,,,,,,,,,,,,87.40,LTAP 041050Z 08002KT CAVOK 33/05 Q1014 NOSIG RMK RWY23 VRB04KT,
LTAP,2024-06-04 11:20,35.5833,40.8500,535.00,91.40,39.20,16.15,100.00,5.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,87.30,LTAP 041120Z 10005KT 030V140 CAVOK 33/04 Q1013 NOSIG RMK RWY23 09002KT,
LTAP,2024-06-04 11:50,35.5833,40.8500,535.00,91.40,41.00,17.32,130.00,6.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,87.40,LTAP 041150Z 13006KT 090V170 CAVOK 33/05 Q1013 NOSIG RMK RWY23 VRB05KT,
LTAP,2024-06-04 12:20,35.5833,40.8500,535.00,91.40,39.20,16.15,120.00,4.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,87.30,LTAP 041220Z 12004KT 050V150 CAVOK 33/04 Q1013 NOSIG RMK RWY23 19004KT 110V280,
LTAP,2024-06-04 12:50,35.5833,40.8500,535.00,91.40,37.40,15.05,130.00,5.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,87.23,LTAP 041250Z 13005KT 060V170 CAVOK 33/03 Q1013 NOSIG RMK RWY23 18004KT 110V240,
LTAP,2024-06-04 13:20,35.5833,40.8500,535.00,91.40,37.40,15.05,140.00,3.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,87.23,LTAP 041320Z 14003KT 110V210 CAVOK 33/03 Q1013 NOSIG RMK RWY23 VRB02KT,
